onset	duration	type	freq	key
1.081832458	0	block start		
1.082062042	0	flicker	30	
1.099157792	0	flicker	30	
1.115268417	0	flicker	30	
1.131812708	0	flicker	30	
1.148254625	0	flicker	30	
1.1649687499999999	0	flicker	30	
1.181751292	0	flicker	30	
1.198267	0	flicker	30	
1.214902792	0	flicker	30	
1.232128375	0	flicker	30	
1.24856275	0	flicker	30	
1.2652627920000001	0	flicker	30	
1.2819057919999999	0	flicker	30	
1.298289458	0	flicker	30	
1.31493875	0	flicker	30	
1.331606417	0	flicker	30	
1.3482109580000001	0	flicker	30	
1.365105375	0	flicker	30	
1.38166475	0	flicker	30	
1.398412375	0	flicker	30	
1.4150235	0	flicker	30	
1.431870917	0	flicker	30	
1.448406167	0	flicker	30	
1.464846542	0	flicker	30	
1.481429208	0	flicker	30	
1.49810825	0	flicker	30	
1.5148420420000002	0	flicker	30	
1.531529208	0	flicker	30	
1.548226708	0	flicker	30	
1.564842125	0	flicker	30	
1.58144925	0	flicker	30	
1.598132667	0	flicker	30	
1.614812708	0	flicker	30	
1.631955333	0	flicker	30	
1.648575375	0	flicker	30	
1.665085583	0	flicker	30	
1.681732458	0	flicker	30	
1.69838875	0	flicker	30	
1.7150215420000001	0	flicker	30	
1.731556292	0	flicker	30	
1.748431542	0	flicker	30	
1.765026625	0	flicker	30	
1.781695167	0	flicker	30	
1.79833625	0	flicker	30	
1.815410042	0	flicker	30	
1.8321150830000001	0	flicker	30	
1.848585875	0	flicker	30	
1.865256083	0	flicker	30	
1.8818668330000001	0	flicker	30	
1.898300083	0	flicker	30	
1.9149364580000001	0	flicker	30	
1.931632708	0	flicker	30	
1.9482023750000002	0	flicker	30	
1.965017625	0	flicker	30	
1.981600042	0	flicker	30	
1.99816075	0	flicker	30	
2.014836708	0	flicker	30	
2.031499208	0	flicker	30	
2.048141833	0	flicker	30	
2.06492325	0	flicker	30	
2.081456833	0	flicker	30	
2.098106083	0	flicker	30	
2.114763708	0	flicker	30	
2.131513708	0	flicker	30	
2.148127708	0	flicker	30	
2.164954208	0	flicker	30	
2.181663208	0	flicker	30	
2.198361875	0	flicker	30	
2.214983333	0	flicker	30	
2.231657375	0	flicker	30	
2.248625333	0	flicker	30	
2.265203542	0	flicker	30	
2.281992625	0	flicker	30	
2.298559542	0	flicker	30	
2.315201	0	flicker	30	
2.33189175	0	flicker	30	
2.348627042	0	flicker	30	
2.365239583	0	flicker	30	
2.382037625	0	flicker	30	
2.398341375	0	flicker	30	
2.415198167	0	flicker	30	
2.431961458	0	flicker	30	
2.44842225	0	flicker	30	
2.464830458	0	flicker	30	
2.481619083	0	flicker	30	
2.4982645	0	flicker	30	
2.514926542	0	flicker	30	
2.5314995	0	flicker	30	
2.548140167	0	flicker	30	
2.564816	0	flicker	30	
2.581669417	0	flicker	30	
2.598336583	0	flicker	30	
2.615058083	0	flicker	30	
2.63169725	0	flicker	30	
2.648193583	0	flicker	30	
2.665023	0	flicker	30	
2.681683792	0	flicker	30	
2.698278208	0	flicker	30	
2.715052	0	flicker	30	
2.731817667	0	flicker	30	
2.748957292	0	flicker	30	
2.7651438329999998	0	flicker	30	
2.781765	0	flicker	30	
2.79881025	0	flicker	30	
2.816244792	0	flicker	30	
2.832923542	0	flicker	30	
2.848742167	0	flicker	30	
2.865408583	0	flicker	30	
2.882254	0	flicker	30	
2.89863075	0	flicker	30	
2.915335417	0	flicker	30	
2.931998167	0	flicker	30	
2.9486390829999998	0	flicker	30	
2.965215625	0	flicker	30	
2.9829501670000003	0	flicker	30	
2.998237542	0	flicker	30	
3.014960042	0	flicker	30	
3.031601167	0	flicker	30	
3.048477	0	flicker	30	
3.065277958	0	flicker	30	
3.081767458	0	flicker	30	
3.098437542	0	flicker	30	
3.115181917	0	flicker	30	
3.131679542	0	flicker	30	
3.148342	0	flicker	30	
3.164923625	0	flicker	30	
3.181535667	0	flicker	30	
3.198183	0	flicker	30	
3.214888	0	flicker	30	
3.231503625	0	flicker	30	
3.248450375	0	flicker	30	
3.265087667	0	flicker	30	
3.281727333	0	flicker	30	
3.298451458	0	flicker	30	
3.315051792	0	flicker	30	
3.331635125	0	flicker	30	
3.348427458	0	flicker	30	
3.365130792	0	flicker	30	
3.381724833	0	flicker	30	
3.398389417	0	flicker	30	
3.414978917	0	flicker	30	
3.431714083	0	flicker	30	
3.448412542	0	flicker	30	
3.464984042	0	flicker	30	
3.481886667	0	flicker	30	
3.498268458	0	flicker	30	
3.515044333	0	flicker	30	
3.531653125	0	flicker	30	
3.548198208	0	flicker	30	
3.565185792	0	flicker	30	
3.581651875	0	flicker	30	
3.598245167	0	flicker	30	
3.6148951670000002	0	flicker	30	
3.631455583	0	flicker	30	
3.648227333	0	flicker	30	
3.664815917	0	flicker	30	
3.681478417	0	flicker	30	
3.698143208	0	flicker	30	
3.714868875	0	flicker	30	
3.731526667	0	flicker	30	
3.748275333	0	flicker	30	
3.76498925	0	flicker	30	
3.781738583	0	flicker	30	
3.798457292	0	flicker	30	
3.815005333	0	flicker	30	
3.831701583	0	flicker	30	
3.848378792	0	flicker	30	
3.865071833	0	flicker	30	
3.8816606670000002	0	flicker	30	
3.898416417	0	flicker	30	
3.9150653330000003	0	flicker	30	
3.9317833330000003	0	flicker	30	
3.948367292	0	flicker	30	
3.96496025	0	flicker	30	
3.981624167	0	flicker	30	
3.998482167	0	flicker	30	
4.015080833	0	flicker	30	
4.031592292	0	flicker	30	
4.04822375	0	flicker	30	
4.06491725	0	flicker	30	
4.081639458	0	flicker	30	
4.098440208	0	flicker	30	
4.114948375	0	flicker	30	
4.131471167	0	flicker	30	
4.148109875	0	flicker	30	
4.164878833	0	flicker	30	
4.181441	0	flicker	30	
4.198120417	0	flicker	30	
4.214789917	0	flicker	30	
4.231423292	0	flicker	30	
4.248109625	0	flicker	30	
4.264818958	0	flicker	30	
4.281720542	0	flicker	30	
4.298406625	0	flicker	30	
4.314994833	0	flicker	30	
4.332592	0	flicker	30	
4.348370667	0	flicker	30	
4.365008542	0	flicker	30	
4.381875708	0	flicker	30	
4.3983754170000005	0	flicker	30	
4.414964292	0	flicker	30	
4.431699208	0	flicker	30	
4.448375417	0	flicker	30	
4.464969458	0	flicker	30	
4.481607792	0	flicker	30	
4.498310208	0	flicker	30	
4.514975167	0	flicker	30	
4.531679458	0	flicker	30	
4.548332167	0	flicker	30	
4.564863208	0	flicker	30	
4.581610417	0	flicker	30	
4.59814475	0	flicker	30	
4.614808417	0	flicker	30	
4.631492167	0	flicker	30	
4.648175042	0	flicker	30	
4.664786417	0	flicker	30	
5.521597417	0	block start		
5.521686458	0	flicker	30	
5.524386875	0	flicker	30	
5.5516112920000005	0	flicker	30	
5.578895292	0	flicker	30	
5.603920083	0	flicker	30	
5.612783208	0	flicker	30	
5.632430792	0	flicker	30	
5.67331475	0	flicker	30	
5.751207667	0	flicker	30	
5.769784917	0	flicker	30	
5.774303542	0	flicker	30	
5.79951525	0	flicker	30	
5.816621167	0	flicker	30	
5.832458667	0	flicker	30	
5.848218833	0	flicker	30	
5.898328208	0	flicker	15	
5.931561833	0	flicker	15	
5.965358667	0	flicker	15	
6.000678417	0	flicker	15	
6.032002	0	flicker	15	
6.099072167	0	flicker	15	
6.132132292	0	flicker	15	
6.166792708	0	flicker	15	
6.198763958	0	flicker	15	
6.233329958	0	flicker	15	
6.282048417	0	flicker	15	
6.315661958	0	flicker	15	
6.398276	0	flicker	10	
6.498325875	0	flicker	7.5	
6.532035167	0	flicker	6	
6.748278417	0	flicker	4.285714285714286	
6.865024375	0	flicker	4.285714285714286	
7.031735833	0	flicker	3.75	
7.198202208	0	flicker	3.3333333333333335	
7.365388875	0	flicker	3	
7.531593875	0	flicker	2.727272727272727	
7.698196125	0	flicker	2.5	
7.8658209580000005	0	flicker	2.3076923076923075	
8.449223625	0	flicker	2	
8.6982885	0	flicker	2	
8.948959833	0	flicker	2	
9.198988208	0	flicker	2.142857142857143	
9.381443792	0	flicker	2.3076923076923075	
9.73240975	0	flicker	2.727272727272727	
10.032756292	0	flicker	3	
10.199921708	0	flicker	3.3333333333333335	
10.365096208	0	flicker	3.75	
10.599738583	0	flicker	4.285714285714286	
10.799453083	0	flicker	5	
10.898390625	0	flicker	5	
10.948204917	0	flicker	6	
11.0314745	0	flicker	6	
11.116077208	0	flicker	6	
11.199540417	0	flicker	6	
11.282059167	0	flicker	6	
11.364967292	0	flicker	6	
11.498122333	0	flicker	7.5	
11.564721333	0	flicker	7.5	
11.631453542	0	flicker	7.5	
11.69837475	0	flicker	10	
11.748358167	0	flicker	10	
11.798392417	0	flicker	10	
11.848285583	0	flicker	10	
11.89831875	0	flicker	10	
11.948261917	0	flicker	10	
11.964872	0	flicker	15	
11.998283208	0	flicker	15	
12.031630833	0	flicker	15	
12.064890167	0	flicker	15	
12.098291583	0	flicker	15	
12.131403167	0	flicker	15	
12.165272958	0	flicker	15	
12.198774542	0	flicker	15	
12.231957125	0	flicker	15	
12.265328	0	flicker	15	
12.2988275	0	flicker	15	
12.331795917	0	flicker	15	
12.36661875	0	flicker	15	
12.400206167	0	flicker	15	
12.432590417	0	flicker	15	
12.465487917	0	flicker	15	
12.49821875	0	flicker	15	
12.531716667	0	flicker	15	
12.564898333	0	flicker	15	
12.598145458	0	flicker	15	
